RNA_Spot_ID,Y,X
1603,1425,1023
1604,1425,1089
1605,1426,1486
1606,1427,1650
1607,1428,1437
1608,1431,1342
1609,1433,1379
1610,1434,1562
1611,1435,1309
1612,1435,1684
1613,1437,994
1614,1438,1272
1615,1439,1071
1616,1439,1106
1617,1439,1497
1618,1440,1356
1619,1440,1584
1620,1441,1514
1621,1441,1648
1622,1443,1445
1623,1443,1699
1624,1444,1170
1625,1447,971
1626,1447,1486
1627,1447,1599
1628,1450,1329
1629,1451,1155
1630,1455,1104
1631,1455,1303
1632,1455,1440
1633,1455,1674
1634,1457,1523
1635,1457,1757
1636,1459,1027
1637,1459,1350
1638,1459,1554
1639,1461,1382
1640,1464,1084
1641,1464,1393
1642,1465,1457
1643,1466,1060
1644,1466,1305
1645,1466,1405
1646,1467,1669
1647,1468,1002
1648,1468,1144
1649,1468,1706
1650,1469,1093
1651,1469,1239
1652,1469,1367
1653,1470,1124
1654,1473,1029
1655,1474,1321
1656,1474,1431
1657,1474,1477
1658,1474,1733
1659,1475,1193
1660,1476,1387
1661,1476,1578
1662,1477,1601
1663,1478,1288
1664,1479,1273
1665,1482,1499
1666,1483,1064
1667,1483,1212
1668,1483,1249
1669,1484,1175
1670,1489,1336
1671,1489,1630
1672,1490,1124
1673,1491,1349
1674,1492,1263
1675,1493,1316
1676,1498,1155
1677,1498,1295
1678,1498,1374
1679,1500,1007
1680,1503,1674
1681,1504,1194
1682,1505,1280
1683,1506,1340
1684,1509,1162
1685,1511,1253
1686,1512,1553
1687,1513,1217
1688,1515,1274
1689,1517,1198
1690,1517,1441
1691,1519,1152
1692,1521,1435
1693,1524,1233
1694,1524,1377
1695,1527,1212
1696,1528,1194
1697,1532,1568
1698,1538,1284
1699,1539,1212
1700,1540,1301
1701,1540,1338
1702,1541,1233
1703,1542,1320
1704,1543,1256
1705,1544,1364
1706,1547,1160
1707,1548,1187
1708,1552,1243
1709,1555,1352
1710,1555,1367
1711,1557,1334
1712,1558,1401
1713,1559,1425
1714,1561,1096
1715,1561,1164
1716,1561,1220
1717,1562,1143
1718,1564,1114
1719,1567,1260
1720,1574,1357
1721,1574,1372
1722,1575,1142
1723,1575,1197
1724,1579,1476
1725,1580,1168
1726,1584,1207
1727,1584,1233
1728,1584,1257
1729,1585,1059
1730,1586,1188
1731,1586,1370
1732,1586,1399
1733,1590,1341
1734,1595,1501
1735,1597,1212
1736,1597,1243
1737,1598,1098
1738,1599,29
1739,1600,1259
1740,1601,1116
1741,1601,1406
1742,1603,1365
1743,1604,1224
1744,1604,1420
1745,1605,1189
1746,1606,1021
1747,1607,1556
1748,1608,1487
1749,1609,1235
1750,1613,1164
1751,1613,1178
1752,1617,1277
1753,1620,1246
1754,1620,1294
1755,1621,1143
1756,1622,1091
1757,1626,1265
1758,1626,1317
1759,1629,1185
1760,1630,1118
1761,1630,1166
1762,1630,1444
1763,1632,1078
1764,1632,1275
1765,1632,1401
1766,1634,1149
1767,1635,1044
1768,1635,1358
1769,1635,1379
1770,1636,1063
1771,1636,1104
1772,1636,1239
1773,1639,1315
1774,1640,1025
1775,1640,1302
1776,1642,1326
1777,1643,1473
1778,1645,1180
1779,1646,1035
1780,1646,1409
1781,1649,1346
1782,1649,1375
1783,1652,1449
